Domain,Theme,Main topic,Subtopic,Question,Answer,Source
Global Trade Relations,Institutional Service,Export Financing,Financial Support,May export financing assistance ba ang DTI?,"Hello ka-SangkAI😀🚀!  Opo, may partnerships po with financial institutions para sa export financing, trade credit insurance, working capital loans, at financial support para sa exporters. 💳 Alam po namin na malaking capital ang kailangan para sa export business. Kaya may financing assistance po para sa qualified exporters! 💰",DTI scales up exporter support amid global trade challenges | Department of Trade and Industry Philippines
Global Trade Relations,Institutional Service,Trade Statistics,Trade Data,Saan makakakuha ng trade statistics?,"Hello ka-SangkAI😀🚀!  Sa DTI Trade and Industry Information Center po na nag-maintain ng comprehensive trade database, export-import statistics, market data, at trade performance indicators. 📊 May mga reports po sila about trade performance ng Philippines. Useful po ito para sa market research at business planning! 📈",Statistical Datapack | Department of Trade and Industry Philippines
Global Trade Relations,Programs,Export Product Development,Product Enhancement,May support ba para sa export product development?,"Hello ka-SangkAI😀🚀!  Opo, nag-provide po ng product development assistance, design improvement, packaging enhancement, quality upgrading, at certification support para sa export products. 📦 Hindi lang basta i-export ang products - dapat export-quality talaga! May standards po na dapat sundin para sa international markets. ✨",DTI scales up exporter support amid global trade challenges | Department of Trade and Industry Philippines
Global Trade Relations,Institutional Service,Export Documentation,Trade Documents,Tumutulong ba ang DTI sa export documentation?,"Hello ka-SangkAI😀🚀!  Opo, nag-provide po ng guidance sa export documentation requirements, trade documents preparation, customs procedures, at regulatory compliance para sa exporters. 📋 Alam po namin na nakaka-confuse ang export documents. Kaya may guidance po para hindi kayo ma-delay sa customs! Step-by-step po ang guidance nila. 📝",https://www.dti.gov.ph/negosyo/exports/
Global Trade Relations,Programs,Brand Philippines,Country Branding,Ano ang Brand Philippines program?,"Hello ka-SangkAI😀🚀!  National branding initiative po para i-promote ang Philippine products at services globally, enhance country image, at improve competitiveness sa international markets. 🇵🇭 Proud to be Pinoy products po! Ginagawa po nitong recognizable ang ""Made in Philippines"" label globally. Quality products from the Philippines! ✨",Bagong Pilipinas
Suggestion,Business Improvement,Logistics,Sourcing Materials,"Saan ako makakabili ng [name of raw materials]  na malapit sa akin [location]?
","Hello ka-SangkAI! 🚀 Maari ko bang malaman kung saan ang iyong negosyo? [Chatbot should prompt for user’s location] 😀

Kapag nasabi mo na ang iyong lokasyon, narito ang ilang mga suppliers o tindahan kung saan ka makakabili ng [name of raw materials]:
📍 [Nearby Supplier 1 with link]
📍 [Nearby Supplier 2 with link]
📍 [Online Marketplaces like Lazada, Shopee, or Facebook Marketplace]

💡 Tip: Pwede ka ring sumali sa mga FB Groups ng local entrepreneurs para magtanong ng direct suppliers sa inyong lugar.",
Suggestion,Business Improvement,Cut Operational Cost,Sales Optimization,Paano ko maiimprove ang aking sales?,"Hello ka-SangkAI! 🚀Ito ang mga maaari mong gawin para maimprove ang iyong sales:
[shows suggestions on how to improve sales]",
Suggestion,Business Improvement,Operations,Inventory Management,Paano ko mapapamahalaan nang mas maayos ang inventory ko?,"Hello ka-SangkAI😀🚀, ganito ang mga maaari mong gawin: 
[shows more cost-cutting suggestions based on inventory]",
Suggestion,Business Improvement,Finance,Staff Self-Service,Pwede bang makita ng staff ang payslip nila online?,"Hello Ka-SangkAI😀🚀, hindi makikita ng mga staff ang kanilang payslip maliban nalang kung ipakita mo mismo sa kanila!",
Suggestion,Business Improvement,Finance,,Saan ako pwedeng magpakonsulta sa aking negosyo?,"Hello ka-SangkAI😀🚀, maraming libreng consultation services para sa mga MSMEs! Narito ang mga pwede mong lapitan:

🧠 Negosyo Center (DTI) – may mga business counselors na pwedeng tumulong sa strategy, registration, at compliance
🌐 Go Negosyo (www.gonegosyo.net) – may mentorship programs para sa aspiring entrepreneurs
💼 PhilDev / StartUp PH / IdeaSpace – para sa tech or innovation-driven businesses
📱 Online Communities – FB Groups gaya ng “Online Negosyo PH” o “StartUp PH”

Gusto mo bang hanapan kita ng pinakamalapit na DTI Negosyo Center?",
Suggestion,Business Improvement,Marketing & Sales,Online Presence,Paano ko mapapalakas ang online presence ng negosyo ko?,"Hello ka-SangkAI😀🚀, pwede mong gawin ito:
🌐 Gumawa ng FB Page at Google Business Profile                                        
📸 Mag-post ng high-quality photos                                        
📈 Gumamit ng hashtags at sumali sa online seller groups para sa visibility!
[shows more suggestions]",
Suggestion,Business Improvement,Customer Service,Handling Complaints,May reklamo ang customer ko—ano ang tamang gawin?,"Hello ka-SangkAI😀🚀, ito ang tamang hakbang kapag may reklamo ang customer:

👂 Makinig muna – pakinggan ang full concern nila nang hindi nag-iinterrupt
🙏 Mag-sorry agad kung may pagkukulang – kahit hindi ikaw ang may kasalanan, it helps to show empathy<br🔧 Magbigay ng malinaw na solusyon – palitan ang item, ayusin ang serbisyo, o ibigay ang refund kung kailangan<br📝 I-record ang complaint – para may reference at maiwasan sa susunod",
Suggestion,Business Improvement,Finance,Pricing Strategy ,Paano ko malalaman kung tama ang presyo ng produkto ko?,"Hello ka-SangkAI😀🚀, narito ang steps para siguraduhing makatarungan at competitive ang presyo mo:

🧮 I-compute ang total cost – kasama ang materials, labor, overhead (e.g. kuryente, renta)
📈 Magdagdag ng markup/profit margin – karaniwan 20%–40% depende sa industriya
📊 I-compare sa competitors – wag sobrang taas o baba para hindi mawalan ng tiwala ang customers
📦 Magbigay ng value – halimbawa, free delivery o eco-packaging para worth it ang presyo mo
",
Suggestion,Business Improvement,Product-based Improvement,Feedback-based Innovation,Anong produkto pa ang pwede kong idagdag sa negosyo ko?,"Ka-SangkAI😀🚀, magandang tanong 'yan! Eto ang paraan para makahanap ng next winning product:

📋 Mangolekta ng feedback – itanong sa customers kung ano pa ang gusto nila
📱 Gamitin ang social media polls – para mabilis malaman kung ano ang usong produkto
🧠 Observe competitor trends – tingnan ang comments section ng ibang tindahan
🌱 Mag-experiment ng small batch – subukan muna sa small scale para mabasa ang response",
